Time,No_Link
13:00:26.4,96.0
13:00:27.6,95.0
13:00:36.4,99.0
13:00:37.6,93.0
13:00:38.8,93.0
13:00:40.0,93.0
13:00:41.2,94.0
13:00:42.5,94.0
13:00:43.6,93.0
13:00:44.8,93.0
13:00:46.0,94.0
13:00:47.1,94.0
13:00:48.3,95.0
13:00:49.4,94.0
13:00:50.6,95.0
13:00:51.8,94.0
13:00:53.0,94.0
13:00:54.1,95.0
13:00:55.3,94.0
13:00:56.6,93.0
13:00:57.7,95.0
13:00:59.0,95.0
13:01:00.2,99.0
13:01:01.4,100.0
13:01:02.6,102.0
13:01:03.8,102.0
13:01:05.0,103.0
13:01:06.3,105.0
13:01:07.5,105.0
13:01:08.7,107.0
13:01:09.9,105.0
13:01:11.4,105.0
13:01:12.6,107.0
13:01:13.7,93.0
13:01:15.3,91.0
13:01:16.6,90.0
13:01:17.8,90.0
13:01:19.0,90.0
13:01:20.2,92.0
13:01:21.4,93.0
13:01:22.5,94.0
13:01:24.0,95.0
13:01:25.2,96.0
13:01:26.4,97.0
13:01:27.6,98.0
13:01:28.8,98.0
13:01:30.0,99.0
13:01:31.4,97.0
13:01:32.5,95.0
13:01:33.8,93.0
13:01:35.1,93.0
13:01:36.4,94.0
13:01:37.7,94.0
13:01:38.9,92.0
13:01:40.1,93.0
13:01:41.3,93.0
13:01:42.5,93.0
13:01:43.7,93.0
13:01:44.9,95.0
13:01:46.1,95.0
13:01:47.2,99.0
13:01:48.4,104.0
13:01:49.6,105.0
13:01:50.9,104.0
13:01:52.1,101.0
13:01:53.3,101.0
13:01:54.6,100.0
13:01:55.8,100.0
13:01:57.0,100.0
13:01:58.2,100.0
13:01:59.5,98.0
13:02:00.7,97.0
13:02:01.9,98.0
13:02:03.2,97.0
13:02:04.4,97.0
13:02:05.6,98.0
13:02:06.7,98.0
13:02:08.0,97.0
13:02:09.2,98.0
13:02:10.5,97.0
13:02:11.7,97.0
13:02:12.9,97.0
13:02:14.1,97.0
13:02:15.3,97.0
13:02:16.5,97.0
13:02:17.7,95.0
13:02:18.8,100.0
13:02:20.0,103.0
13:02:21.2,106.0
13:02:22.4,109.0
13:02:23.7,110.0
13:02:24.9,111.0
13:02:26.1,113.0
13:02:27.2,113.0
13:02:28.5,115.0
13:02:29.7,116.0
13:02:30.8,116.0
13:02:32.2,116.0
13:02:33.4,117.0
13:02:34.5,118.0
13:02:35.9,119.0
13:02:37.1,118.0
13:02:38.3,119.0
13:02:39.6,121.0
13:02:40.8,121.0
13:02:42.0,118.0
13:02:43.2,116.0
13:02:44.5,115.0
13:02:45.6,113.0
13:02:46.9,111.0
13:02:48.1,110.0
13:02:49.3,108.0
13:02:50.6,109.0
13:02:51.8,110.0
13:02:53.0,107.0
13:02:54.2,107.0
13:02:55.4,105.0
13:02:56.7,104.0
13:02:57.9,103.0
13:02:59.1,103.0
13:03:00.2,104.0
13:03:01.4,106.0
13:03:02.7,106.0
13:03:04.0,106.0
13:03:05.1,108.0
13:03:06.3,109.0
13:03:07.5,108.0
13:03:08.6,108.0
13:03:09.9,109.0
13:03:11.2,109.0
13:03:12.5,108.0
13:03:13.8,108.0
13:03:15.1,107.0
13:03:16.3,107.0
13:03:17.5,108.0
13:03:18.7,108.0
13:03:19.8,109.0
13:03:21.1,110.0
13:03:22.2,112.0
13:03:23.4,113.0
13:03:24.6,113.0
13:03:25.8,112.0
13:03:27.2,112.0
13:03:28.4,113.0
13:03:29.6,112.0
13:03:31.0,111.0
13:03:32.2,111.0
13:03:33.4,111.0
13:03:34.6,111.0
13:03:35.7,113.0
13:03:37.0,112.0
13:03:38.2,113.0
13:03:39.4,113.0
13:03:40.5,110.0
13:03:41.8,109.0
13:03:43.0,106.0
13:03:44.1,102.0
13:03:45.4,103.0
13:03:46.5,102.0
13:03:47.7,103.0
13:03:49.2,104.0
13:03:50.5,107.0
13:03:51.7,111.0
13:03:52.9,113.0
13:03:54.1,114.0
13:03:55.2,114.0
13:03:56.5,116.0
13:03:57.7,117.0
13:03:59.1,116.0
13:04:00.3,115.0
13:04:01.5,118.0
13:04:02.8,120.0
13:04:04.0,122.0
13:04:05.1,122.0
13:04:06.3,120.0
13:04:07.6,119.0
13:04:08.9,118.0
13:04:10.0,118.0
13:04:11.2,118.0
13:04:12.4,122.0
13:04:13.6,121.0
13:04:14.8,121.0
13:04:16.1,122.0
13:04:17.3,123.0
13:04:18.4,120.0
13:04:19.6,117.0
13:04:20.9,117.0
13:04:22.1,116.0
13:04:23.3,115.0
13:04:24.5,115.0
13:04:25.7,116.0
13:04:26.9,116.0
13:04:28.0,115.0
13:04:29.2,114.0
13:04:30.4,113.0
13:04:31.7,114.0
13:04:32.9,114.0
13:04:34.1,113.0
13:04:35.3,113.0
13:04:36.4,113.0
13:04:37.6,111.0
13:04:38.9,109.0
13:04:40.0,110.0
13:04:41.2,109.0
13:04:42.3,106.0
13:04:43.5,103.0
13:04:44.7,102.0
13:04:45.8,101.0
13:04:47.0,101.0
13:04:48.2,102.0
13:04:49.4,102.0
13:04:50.5,101.0
13:04:51.7,100.0
13:04:52.9,99.0
13:04:54.1,98.0
13:04:55.2,96.0
13:04:56.4,97.0
13:04:57.7,97.0
13:04:58.8,98.0
13:05:00.0,99.0
13:05:01.2,100.0
13:05:02.4,100.0
13:05:03.5,99.0
13:05:04.7,99.0
13:05:05.9,99.0
13:05:07.1,100.0
13:05:08.3,99.0
13:05:09.5,99.0
13:05:10.6,100.0
13:05:11.8,100.0
13:05:13.0,103.0
13:05:14.2,103.0
13:05:15.4,105.0
13:05:16.6,107.0
13:05:17.8,107.0
13:05:19.0,108.0
13:05:20.2,110.0
13:05:21.4,111.0
13:05:22.6,114.0
13:05:23.8,114.0
13:05:25.0,116.0
13:05:26.2,118.0
13:05:27.4,119.0
13:05:28.6,118.0
13:05:29.8,120.0
13:05:31.1,118.0
13:05:32.3,116.0
13:05:33.4,116.0
13:05:34.7,115.0
13:05:35.9,112.0
13:05:37.1,111.0
13:05:38.2,111.0
13:05:39.4,109.0
13:05:40.6,109.0
13:05:41.8,108.0
13:05:43.0,108.0
13:05:44.2,108.0
13:05:45.4,107.0
13:05:46.6,108.0
13:05:47.8,109.0
13:05:49.0,108.0
13:05:50.2,107.0
13:05:51.4,107.0
13:05:52.5,108.0
13:05:53.8,112.0
13:05:55.0,112.0
13:05:56.3,113.0
13:05:57.5,113.0
13:05:58.8,110.0
13:06:00.0,110.0
13:06:01.4,111.0
13:06:02.6,111.0
13:06:03.8,109.0
13:06:05.0,107.0
13:06:06.3,107.0
13:06:07.5,107.0
13:06:08.7,114.0
13:06:10.0,113.0
13:06:11.2,114.0
13:06:12.5,114.0
13:06:13.6,116.0
13:06:14.8,118.0
13:06:16.0,107.0
13:06:17.3,109.0
13:06:18.5,109.0
13:06:19.7,108.0
13:06:21.0,108.0
13:06:22.2,107.0
13:06:23.4,106.0
13:06:24.6,105.0
13:06:25.8,105.0
13:06:27.0,108.0
13:06:28.2,106.0
13:06:29.4,106.0
13:06:30.6,107.0
13:06:31.8,107.0
13:06:33.0,107.0
13:06:34.1,106.0
13:06:35.4,105.0
13:06:36.8,104.0
13:06:38.0,104.0
13:06:39.2,104.0
13:06:40.3,104.0
13:06:41.6,103.0
13:06:42.7,102.0
13:06:44.0,101.0
13:06:45.4,101.0
13:06:46.7,101.0
13:06:47.9,103.0
13:06:49.1,102.0
13:06:50.3,101.0
13:06:51.5,105.0
13:06:52.7,103.0
13:06:53.9,102.0
13:06:55.1,102.0
13:06:56.3,103.0
13:06:57.6,102.0
13:06:58.8,101.0
13:07:00.0,102.0
13:07:01.2,102.0
13:07:02.6,100.0
13:07:03.7,99.0
13:07:04.9,100.0
13:07:06.2,100.0
13:07:07.4,100.0
13:07:08.5,100.0
13:07:09.7,97.0
13:07:11.0,95.0
13:07:12.2,95.0
13:07:13.4,96.0
13:07:14.7,96.0
13:07:15.9,95.0
13:07:17.1,95.0
13:07:18.3,94.0
13:07:19.4,94.0
13:07:20.7,93.0
13:07:21.8,94.0
13:07:23.0,94.0
13:07:24.2,96.0
13:07:25.5,96.0
13:07:26.7,97.0
13:07:27.8,97.0
13:07:29.0,98.0
13:07:30.2,97.0
13:07:31.4,96.0
13:07:32.6,95.0
13:07:33.9,95.0
13:07:35.1,96.0
13:07:36.3,97.0
13:07:37.5,99.0
13:07:38.7,97.0
13:07:39.8,97.0
13:07:41.1,95.0
13:07:42.4,97.0
13:07:43.6,99.0
13:07:44.8,103.0
13:07:46.0,103.0
13:07:47.3,107.0
13:07:48.6,109.0
13:07:49.9,109.0
13:07:51.3,108.0
13:07:52.5,109.0
13:07:53.7,113.0
13:07:55.0,113.0
13:07:56.2,114.0
13:07:57.3,115.0
13:07:58.5,117.0
13:07:59.7,117.0
13:08:00.9,118.0
13:08:02.1,117.0
13:08:03.3,121.0
13:08:04.5,124.0
13:08:05.7,124.0
13:08:06.9,123.0
13:08:08.2,123.0
13:08:09.4,122.0
13:08:10.6,119.0
13:08:11.7,117.0
13:08:13.0,117.0
13:08:14.3,117.0
13:08:15.5,114.0
13:08:16.8,110.0
13:08:18.0,109.0
13:08:19.3,109.0
13:08:20.5,108.0
13:08:21.8,106.0
13:08:23.0,106.0
13:08:24.3,105.0
13:08:25.5,106.0
13:08:26.8,105.0
13:08:28.0,106.0
13:08:29.3,107.0
13:08:30.5,106.0
13:08:31.7,106.0
13:08:32.9,105.0
13:08:34.2,105.0
13:08:35.5,107.0
13:08:36.6,107.0
13:08:37.8,110.0
13:08:39.1,112.0
13:08:40.2,111.0
13:08:41.5,111.0
13:08:42.6,111.0
13:08:43.8,114.0
13:08:45.0,117.0
13:08:46.2,117.0
13:08:47.5,116.0
13:08:48.7,115.0
13:08:50.0,116.0
13:08:51.6,116.0
13:08:52.9,116.0
13:08:54.1,117.0
13:08:55.3,117.0
13:08:56.5,117.0
13:08:57.7,116.0
13:08:58.9,107.0
13:09:00.1,107.0
13:09:01.3,107.0
13:09:02.5,107.0
13:09:03.7,106.0
13:09:05.0,108.0
13:09:06.3,107.0
13:09:07.5,105.0
13:09:08.7,106.0
13:09:09.9,106.0
13:09:11.2,107.0
13:09:12.3,106.0
13:09:13.7,106.0
13:09:14.9,108.0
13:09:16.0,108.0
13:09:17.3,108.0
13:09:18.5,108.0
13:09:19.6,112.0
13:09:20.8,111.0
13:09:22.1,111.0
13:09:23.3,111.0
13:09:24.6,111.0
13:09:25.8,111.0
13:09:27.1,113.0
13:09:28.3,113.0
13:09:29.5,114.0
13:09:30.8,110.0
13:09:32.0,110.0
13:09:33.2,114.0
13:09:34.5,112.0
13:09:35.7,113.0
13:09:37.0,113.0
13:09:38.4,113.0
13:09:39.5,112.0
13:09:40.7,111.0
13:09:42.1,111.0
13:09:43.2,110.0
13:09:44.5,112.0
13:09:45.9,112.0
13:09:47.1,112.0
13:09:48.2,112.0
13:09:49.4,111.0
13:09:50.7,111.0
13:09:51.9,111.0
13:09:53.1,111.0
13:09:54.4,111.0
13:09:55.6,109.0
13:09:56.9,110.0
13:09:58.1,110.0
13:09:59.3,111.0
13:10:00.5,111.0
13:10:01.7,112.0
13:10:02.8,112.0
13:10:04.0,112.0
13:10:05.3,113.0
13:10:06.5,114.0
13:10:07.8,116.0
13:10:08.9,116.0
13:10:10.2,115.0
13:10:11.4,115.0
13:10:12.7,113.0
13:10:14.1,114.0
13:10:15.4,113.0
13:10:16.8,113.0
13:10:18.0,113.0
13:10:19.3,113.0
13:10:20.5,114.0
13:10:21.7,117.0
13:10:23.0,116.0
13:10:24.2,112.0
13:10:25.5,111.0
13:10:26.7,111.0
13:10:27.9,111.0
13:10:29.2,110.0
13:10:30.4,110.0
13:10:31.7,110.0
13:10:33.0,109.0
13:10:34.2,109.0
13:10:35.4,110.0
13:10:36.6,110.0
13:10:37.8,109.0
13:10:39.0,108.0
13:10:40.2,109.0
13:10:41.8,108.0
13:10:43.0,109.0
